batch_id,test_date,drug_id,drug_name,supplier_id,supplier_name,purity_pct,contamination_ppm,dissolution_min,moisture_pct,sterility_pass,overall_pass,quality_trend
BAT00407,2021-01-23,DRG001,Lisinopril,SUP004,Laurus Labs Synthesis,83.65,7.27,36.1,1.11,True,False,declining
BAT00822,2021-01-25,DRG006,Ibuprofen,SUP007,Huahai Pharmaceutical API,80.71,10.25,45.2,2.26,True,False,declining
BAT00171,2021-01-26,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,90.34,5.33,36.8,1.46,True,False,stable
BAT00923,2021-01-26,DRG007,Acetaminophen (Paracetamol),SUP008,CSPC Pharma Intermediates,84.21,8.15,36.8,2.24,True,False,stable
BAT01113,2021-01-26,DRG005,Glimepiride,SUP010,Novartis API GmbH,97.18,1.16,28.5,1.47,True,True,stable
BAT01941,2021-01-27,DRG013,Omeprazole,SUP025,Lupin API Division,88.66,5.32,39.8,1.15,True,False,stable
BAT00127,2021-01-28,DRG018,Cetirizine HCl,SUP001,Aurobindo API Ltd,87.89,6.28,36.2,2.4,True,False,stable
BAT01571,2021-01-29,DRG016,Escitalopram Oxalate,SUP017,Thermo Fisher Pharma,95.6,1.93,30.9,1.42,True,True,stable
BAT00588,2021-01-31,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,93.15,3.1,26.9,1.57,True,False,stable
BAT01464,2021-01-31,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,91.31,4.56,35.2,1.84,True,False,stable
BAT00517,2021-02-04,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,91.57,3.57,32.7,1.57,True,False,stable
BAT01263,2021-02-04,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,95.82,2.44,34.7,0.86,True,True,stable
BAT01736,2021-02-04,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,88.42,6.21,33.7,1.45,True,False,stable
BAT00548,2021-02-04,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,93.55,3.94,30.7,1.72,True,False,stable
BAT01264,2021-02-05,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,93.97,2.84,31.6,1.5,True,False,stable
BAT01225,2021-02-06,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,95.46,1.67,29.9,1.81,True,True,stable
BAT01533,2021-02-06,DRG017,Oseltamivir Phosphate,SUP016,Pfizer CentreOne API,99.21,1.2,29.4,1.31,True,True,stable
BAT00128,2021-02-06,DRG018,Cetirizine HCl,SUP001,Aurobindo API Ltd,88.27,5.88,35.4,1.5,True,False,stable
BAT01758,2021-02-06,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,86.68,6.84,40.4,1.72,True,False,stable
BAT00626,2021-02-06,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,90.93,3.21,31.4,2.29,True,False,stable
BAT00319,2021-02-06,DRG009,Azithromycin,SUP003,Dr Reddy's API Division,90.92,4.48,37.5,1.78,True,False,stable
BAT01465,2021-02-07,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,90.6,4.25,37.5,1.48,True,False,stable
BAT01226,2021-02-07,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,95.06,2.05,28.6,1.27,True,True,stable
BAT01841,2021-02-07,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,95.84,2.75,32.7,1.74,True,True,stable
BAT00107,2021-02-08,DRG013,Omeprazole,SUP001,Aurobindo API Ltd,86.71,6.07,40.7,1.57,True,False,stable
BAT00419,2021-02-10,DRG004,Metformin HCl,SUP004,Laurus Labs Synthesis,85.63,7.49,33.7,2.64,True,False,declining
BAT00518,2021-02-10,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,92.84,3.7,28.1,1.55,True,False,stable
BAT00383,2021-02-11,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.11,4.47,30.1,1.89,True,False,stable
BAT00648,2021-02-11,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,82.82,8.1,37.3,1.91,True,False,stable
BAT01406,2021-02-12,DRG006,Ibuprofen,SUP015,Polpharma API Poland,91.34,4.66,34.2,1.99,True,False,stable
BAT01491,2021-02-13,DRG011,Salbutamol Sulfate,SUP016,Pfizer CentreOne API,97.92,1.44,32.3,2.17,True,True,stable
BAT00985,2021-02-14,DRG018,Cetirizine HCl,SUP008,CSPC Pharma Intermediates,82.85,7.8,41.4,1.92,True,False,stable
BAT00549,2021-02-14,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,92.52,3.71,32.7,1.43,True,False,stable
BAT01010,2021-02-14,DRG004,Metformin HCl,SUP009,Shandong Xinhua API,81.72,9.64,32.4,2.06,True,False,stable
BAT01095,2021-02-16,DRG003,Atorvastatin Calcium,SUP010,Novartis API GmbH,97.06,1.38,33.8,0.96,False,False,stable
BAT00649,2021-02-16,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,83.63,9.41,41.8,1.84,True,False,stable
BAT01842,2021-02-17,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,95.53,2.8,26.4,1.89,True,True,stable
BAT01292,2021-02-18,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,97.88,1.45,31.8,1.8,True,True,stable
BAT01653,2021-02-18,DRG005,Glimepiride,SUP020,Teva API Israel,93.74,4.29,34.7,1.73,True,False,stable
BAT01759,2021-02-18,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,86.45,6.36,34.3,1.82,True,False,stable
BAT01293,2021-02-19,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,98.49,1.29,33.3,1.86,True,True,stable
BAT01357,2021-02-21,DRG001,Lisinopril,SUP015,Polpharma API Poland,90.43,4.63,28.4,1.53,True,False,stable
BAT00800,2021-02-21,DRG004,Metformin HCl,SUP007,Huahai Pharmaceutical API,80.0,9.95,35.4,2.17,True,False,declining
BAT00020,2021-02-21,DRG002,Amlodipine Besylate,SUP001,Aurobindo API Ltd,88.36,5.61,42.2,2.07,True,False,stable
BAT01884,2021-02-22,DRG004,Metformin HCl,SUP025,Lupin API Division,89.36,5.16,34.2,1.31,True,False,stable
BAT01466,2021-02-22,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,92.25,4.21,32.9,1.41,True,False,stable
BAT00147,2021-02-22,DRG001,Lisinopril,SUP002,Cipla Chemical Works,88.61,4.85,30.3,1.7,True,False,stable
BAT01227,2021-02-23,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,94.41,2.26,28.9,1.38,True,False,stable
BAT00650,2021-02-23,DRG001,Lisinopril,SUP006,Zhejiang Pharma Chemical,83.79,8.2,35.5,2.17,True,False,stable
BAT01031,2021-02-23,DRG006,Ibuprofen,SUP009,Shandong Xinhua API,81.66,8.85,35.7,2.1,True,False,stable
BAT01829,2021-02-23,DRG016,Escitalopram Oxalate,SUP023,Mylan API Japan,94.34,2.38,28.6,1.76,True,False,stable
BAT01726,2021-02-24,DRG006,Ibuprofen,SUP021,Aspen Pharmacare API,85.4,6.8,33.6,1.86,True,False,stable
BAT01711,2021-02-26,DRG018,Cetirizine HCl,SUP020,Teva API Israel,92.83,3.45,26.3,1.62,True,False,stable
BAT01358,2021-02-26,DRG001,Lisinopril,SUP015,Polpharma API Poland,90.44,4.46,28.4,1.42,True,False,stable
BAT01690,2021-02-26,DRG013,Omeprazole,SUP020,Teva API Israel,92.96,3.82,30.9,1.49,True,False,stable
BAT00723,2021-02-26,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,84.12,8.78,41.6,2.17,True,False,stable
BAT01654,2021-03-01,DRG005,Glimepiride,SUP020,Teva API Israel,94.17,4.07,32.8,1.04,True,False,stable
BAT01885,2021-03-02,DRG004,Metformin HCl,SUP025,Lupin API Division,88.55,5.29,37.7,1.4,True,False,stable
BAT01737,2021-03-03,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,87.1,6.81,32.2,1.8,True,False,stable
BAT00172,2021-03-04,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,91.73,4.85,34.0,1.56,True,False,stable
BAT00320,2021-03-04,DRG009,Azithromycin,SUP003,Dr Reddy's API Division,92.15,3.87,34.1,1.65,True,False,stable
BAT01777,2021-03-04,DRG004,Metformin HCl,SUP022,Cristalia Brazil API,85.97,6.63,33.7,1.9,True,False,declining
BAT01814,2021-03-04,DRG012,Montelukast Sodium,SUP023,Mylan API Japan,95.67,1.9,37.3,1.67,True,True,stable
BAT01339,2021-03-05,DRG013,Omeprazole,SUP014,Euroapi France,93.37,3.37,32.8,1.18,True,False,stable
BAT00108,2021-03-05,DRG013,Omeprazole,SUP001,Aurobindo API Ltd,88.87,5.9,38.2,1.75,True,False,stable
BAT00948,2021-03-05,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.7,6.93,34.4,1.75,True,False,stable
BAT01308,2021-03-06,DRG005,Glimepiride,SUP014,Euroapi France,94.9,2.82,29.8,1.61,True,False,stable
BAT00874,2021-03-07,DRG001,Lisinopril,SUP008,CSPC Pharma Intermediates,84.82,7.78,37.6,1.28,True,False,stable
BAT00875,2021-03-07,DRG001,Lisinopril,SUP008,CSPC Pharma Intermediates,83.73,7.97,30.3,2.01,True,False,stable
BAT01294,2021-03-07,DRG017,Oseltamivir Phosphate,SUP013,Lonza Pharma Ingredients,96.94,1.08,29.2,1.82,True,True,stable
BAT00949,2021-03-09,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.83,8.01,32.7,1.99,True,False,stable
BAT01032,2021-03-09,DRG006,Ibuprofen,SUP009,Shandong Xinhua API,80.86,9.52,37.5,1.88,True,False,stable
BAT00182,2021-03-09,DRG005,Glimepiride,SUP002,Cipla Chemical Works,89.81,4.84,37.0,1.75,True,False,stable
BAT01691,2021-03-09,DRG013,Omeprazole,SUP020,Teva API Israel,93.78,3.8,33.5,1.42,True,False,stable
BAT00519,2021-03-09,DRG003,Atorvastatin Calcium,SUP005,Divi's Laboratories API,93.78,3.69,32.6,1.71,True,False,stable
BAT00950,2021-03-10,DRG008,Amoxicillin Trihydrate,SUP008,CSPC Pharma Intermediates,84.32,8.05,37.1,1.38,True,False,stable
BAT01467,2021-03-10,DRG018,Cetirizine HCl,SUP015,Polpharma API Poland,90.69,4.16,35.5,2.01,True,False,stable
BAT00550,2021-03-11,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,94.38,3.96,35.0,2.17,True,False,stable
BAT00472,2021-03-11,DRG014,Pantoprazole Sodium,SUP004,Laurus Labs Synthesis,85.28,7.8,42.4,2.69,True,False,declining
BAT01228,2021-03-11,DRG007,Acetaminophen (Paracetamol),SUP011,BASF Pharma Solutions,94.89,1.91,32.3,1.52,True,False,stable
BAT00279,2021-03-11,DRG002,Amlodipine Besylate,SUP003,Dr Reddy's API Division,88.88,5.04,32.6,2.01,True,False,stable
BAT01760,2021-03-12,DRG014,Pantoprazole Sodium,SUP021,Aspen Pharmacare API,87.04,7.0,33.0,1.76,True,False,stable
BAT00500,2021-03-12,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.06,3.68,34.9,1.99,True,False,stable
BAT01669,2021-03-12,DRG009,Azithromycin,SUP020,Teva API Israel,91.36,3.13,37.0,2.07,True,False,stable
BAT00724,2021-03-12,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,81.49,8.42,42.5,1.6,True,False,stable
BAT00228,2021-03-14,DRG012,Montelukast Sodium,SUP002,Cipla Chemical Works,91.6,4.99,34.5,1.29,True,False,stable
BAT00690,2021-03-15,DRG006,Ibuprofen,SUP006,Zhejiang Pharma Chemical,83.71,8.51,37.0,1.98,True,False,stable
BAT01068,2021-03-16,DRG010,Ciprofloxacin HCl,SUP009,Shandong Xinhua API,80.8,9.58,37.2,2.18,True,False,stable
BAT00712,2021-03-18,DRG007,Acetaminophen (Paracetamol),SUP006,Zhejiang Pharma Chemical,81.28,8.58,33.8,1.97,True,False,stable
BAT01692,2021-03-18,DRG013,Omeprazole,SUP020,Teva API Israel,92.65,3.59,34.8,1.67,True,False,stable
BAT00002,2021-03-20,DRG001,Lisinopril,SUP001,Aurobindo API Ltd,88.55,5.75,33.2,2.04,True,False,stable
BAT00384,2021-03-20,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.44,4.51,32.9,1.54,True,False,stable
BAT01161,2021-03-21,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,96.82,1.65,30.5,1.58,True,True,stable
BAT01265,2021-03-22,DRG016,Escitalopram Oxalate,SUP012,Siegfried AG Pharma,94.48,2.21,32.8,1.82,True,False,stable
BAT00551,2021-03-22,DRG011,Salbutamol Sulfate,SUP005,Divi's Laboratories API,93.07,2.88,27.2,1.81,True,False,stable
BAT01655,2021-03-22,DRG005,Glimepiride,SUP020,Teva API Israel,91.7,3.34,31.7,1.92,True,False,stable
BAT01138,2021-03-23,DRG009,Azithromycin,SUP010,Novartis API GmbH,96.14,1.92,28.8,1.63,True,True,stable
BAT00501,2021-03-23,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.74,3.56,40.6,1.61,True,False,stable
BAT01069,2021-03-24,DRG010,Ciprofloxacin HCl,SUP009,Shandong Xinhua API,80.03,9.68,38.5,2.15,True,False,stable
BAT01942,2021-03-24,DRG013,Omeprazole,SUP025,Lupin API Division,89.55,5.38,27.5,1.29,True,False,stable
BAT01045,2021-03-24,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.0,9.57,38.8,2.08,True,False,stable
BAT01046,2021-03-25,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,81.17,9.63,37.5,2.11,True,False,stable
BAT00420,2021-03-26,DRG004,Metformin HCl,SUP004,Laurus Labs Synthesis,86.53,8.06,37.8,2.09,True,False,declining
BAT00627,2021-03-27,DRG017,Oseltamivir Phosphate,SUP005,Divi's Laboratories API,93.12,3.71,35.8,1.42,True,False,stable
BAT00786,2021-03-28,DRG018,Cetirizine HCl,SUP006,Zhejiang Pharma Chemical,82.44,8.5,36.2,1.61,True,False,stable
BAT00303,2021-03-28,DRG005,Glimepiride,SUP003,Dr Reddy's API Division,91.0,4.64,35.4,1.67,True,False,stable
BAT01610,2021-03-28,DRG015,Sertraline HCl,SUP018,Cambrex API Corp,94.32,1.78,32.3,2.12,True,False,stable
BAT00589,2021-03-28,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,91.91,3.12,33.7,1.13,True,False,stable
BAT01738,2021-03-28,DRG008,Amoxicillin Trihydrate,SUP021,Aspen Pharmacare API,87.04,6.42,36.2,1.27,True,False,stable
BAT00725,2021-03-29,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,82.96,8.43,34.4,1.31,True,False,stable
BAT01551,2021-03-29,DRG012,Montelukast Sodium,SUP017,Thermo Fisher Pharma,96.83,1.15,29.4,1.78,True,True,stable
BAT00502,2021-03-30,DRG002,Amlodipine Besylate,SUP005,Divi's Laboratories API,93.71,3.1,28.1,1.66,True,False,stable
BAT01047,2021-03-31,DRG007,Acetaminophen (Paracetamol),SUP009,Shandong Xinhua API,80.41,9.52,38.4,2.08,True,False,stable
BAT00535,2021-03-31,DRG009,Azithromycin,SUP005,Divi's Laboratories API,93.21,3.03,36.0,0.95,True,False,stable
BAT00590,2021-04-01,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,91.83,3.39,27.4,1.39,True,False,stable
BAT00747,2021-04-01,DRG010,Ciprofloxacin HCl,SUP006,Zhejiang Pharma Chemical,83.56,8.25,35.7,1.81,True,False,stable
BAT00691,2021-04-02,DRG006,Ibuprofen,SUP006,Zhejiang Pharma Chemical,84.52,8.93,39.2,1.82,True,False,stable
BAT01407,2021-04-02,DRG006,Ibuprofen,SUP015,Polpharma API Poland,92.35,4.34,33.2,1.25,True,False,stable
BAT00408,2021-04-02,DRG001,Lisinopril,SUP004,Laurus Labs Synthesis,86.27,7.96,36.0,1.98,True,False,declining
BAT01552,2021-04-02,DRG012,Montelukast Sodium,SUP017,Thermo Fisher Pharma,96.45,1.22,31.4,1.63,True,True,stable
BAT01534,2021-04-02,DRG017,Oseltamivir Phosphate,SUP016,Pfizer CentreOne API,99.24,1.17,26.6,1.89,True,True,stable
BAT00787,2021-04-03,DRG018,Cetirizine HCl,SUP006,Zhejiang Pharma Chemical,84.92,8.35,38.2,2.4,True,False,stable
BAT01886,2021-04-04,DRG004,Metformin HCl,SUP025,Lupin API Division,88.85,5.37,36.8,1.76,True,False,stable
BAT01588,2021-04-04,DRG017,Oseltamivir Phosphate,SUP017,Thermo Fisher Pharma,97.2,1.79,34.6,1.68,True,True,stable
BAT01340,2021-04-04,DRG013,Omeprazole,SUP014,Euroapi France,93.03,2.66,37.1,1.47,True,False,stable
BAT00173,2021-04-04,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,90.64,4.71,36.7,1.98,True,False,stable
BAT01929,2021-04-05,DRG008,Amoxicillin Trihydrate,SUP025,Lupin API Division,89.8,5.55,33.1,1.56,True,False,stable
BAT00801,2021-04-05,DRG004,Metformin HCl,SUP007,Huahai Pharmaceutical API,80.0,9.77,38.3,2.21,True,False,declining
BAT00385,2021-04-06,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.66,4.14,29.5,1.41,True,False,stable
BAT01943,2021-04-07,DRG013,Omeprazole,SUP025,Lupin API Division,88.75,5.65,34.4,1.9,True,False,stable
BAT00229,2021-04-07,DRG012,Montelukast Sodium,SUP002,Cipla Chemical Works,90.6,5.13,35.8,1.61,True,False,stable
BAT01930,2021-04-07,DRG008,Amoxicillin Trihydrate,SUP025,Lupin API Division,89.13,5.38,31.2,1.3,True,False,stable
BAT01513,2021-04-07,DRG015,Sertraline HCl,SUP016,Pfizer CentreOne API,99.13,1.13,22.9,1.3,True,True,stable
BAT00726,2021-04-09,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,82.19,8.86,38.1,1.49,True,False,stable
BAT00409,2021-04-10,DRG001,Lisinopril,SUP004,Laurus Labs Synthesis,84.85,7.69,32.1,1.97,True,False,declining
BAT00727,2021-04-10,DRG008,Amoxicillin Trihydrate,SUP006,Zhejiang Pharma Chemical,81.81,8.47,41.2,1.78,True,False,stable
BAT01408,2021-04-11,DRG006,Ibuprofen,SUP015,Polpharma API Poland,90.42,4.74,31.9,1.42,True,False,stable
BAT00876,2021-04-11,DRG001,Lisinopril,SUP008,CSPC Pharma Intermediates,84.9,7.37,36.5,1.86,True,False,stable
BAT01843,2021-04-11,DRG015,Sertraline HCl,SUP024,Fermion Oy Finland,96.85,2.57,36.2,1.47,True,True,stable
BAT00280,2021-04-12,DRG002,Amlodipine Besylate,SUP003,Dr Reddy's API Division,90.93,4.88,31.7,1.29,True,False,stable
BAT00070,2021-04-12,DRG008,Amoxicillin Trihydrate,SUP001,Aurobindo API Ltd,87.3,6.08,35.1,1.7,True,False,stable
BAT00591,2021-04-12,DRG015,Sertraline HCl,SUP005,Divi's Laboratories API,92.87,4.03,31.7,1.22,True,False,stable
BAT00386,2021-04-13,DRG015,Sertraline HCl,SUP003,Dr Reddy's API Division,90.49,4.38,34.7,1.34,True,False,stable
BAT01184,2021-04-13,DRG015,Sertraline HCl,SUP010,Novartis API GmbH,97.73,2.19,31.6,1.46,True,True,stable
BAT01162,2021-04-13,DRG011,Salbutamol Sulfate,SUP010,Novartis API GmbH,97.32,1.41,33.5,1.42,True,True,stable
BAT01033,2021-04-14,DRG006,Ibuprofen,SUP009,Shandong Xinhua API,81.68,9.48,35.7,1.99,True,False,stable
BAT01409,2021-04-14,DRG006,Ibuprofen,SUP015,Polpharma API Poland,90.44,4.38,32.4,1.8,True,False,stable
BAT00174,2021-04-15,DRG003,Atorvastatin Calcium,SUP002,Cipla Chemical Works,89.73,5.42,26.3,1.46,True,False,stable
BAT00566,2021-04-15,DRG012,Montelukast Sodium,SUP005,Divi's Laboratories API,95.13,3.29,31.1,1.69,True,False,stable
BAT00148,2021-04-15,DRG001,Lisinopril,SUP002,Cipla Chemical Works,89.42,5.13,33.4,1.84,True,False,stable
BAT01630,2021-04-18,DRG002,Amlodipine Besylate,SUP020,Teva API Israel,92.91,2.86,31.8,1.77,True,False,stable
BAT00192,2021-04-18,DRG008,Amoxicillin Trihydrate,SUP002,Cipla Chemical Works,89.82,4.99,38.8,0.9,True,False,stable
BAT00340,2021-04-18,DRG011,Salbutamol Sulfate,SUP003,Dr Reddy's API Division,90.93,4.3,35.3,2.0,True,False,stable
BAT01909,2021-04-19,DRG006,Ibuprofen,SUP025,Lupin API Division,90.3,5.93,26.6,2.16,True,False,stable
BAT01589,2021-04-19,DRG017,Oseltamivir Phosphate,SUP017,Thermo Fisher Pharma,96.25,1.39,36.0,2.19,True,True,stable
BAT01611,2021-04-20,DRG015,Sertraline HCl,SUP018,Cambrex API Corp,94.07,2.32,31.4,1.88,True,False,stable
BAT00071,2021-04-21,DRG008,Amoxicillin Trihydrate,SUP001,Aurobindo API Ltd,87.6,5.8,36.0,2.21,True,False,stable
BAT00483,2021-04-21,DRG018,Cetirizine HCl,SUP004,Laurus Labs Synthesis,84.35,7.94,41.2,1.83,True,False,declining
BAT00054,2021-04-22,DRG006,Ibuprofen,SUP001,Aurobindo API Ltd,88.55,6.05,36.5,1.82,True,False,stable
BAT00924,2021-04-22,DRG007,Acetaminophen (Paracetamol),SUP008,CSPC Pharma Intermediates,82.4,8.13,37.8,2.05,True,False,stable
BAT00567,2021-04-22,DRG012,Montelukast Sodium,SUP005,Divi's Laboratories API,93.02,3.7,36.7,1.49,True,False,stable
BAT00281,2021-04-22,DRG002,Amlodipine Besylate,SUP003,Dr Reddy's API Division,90.5,4.52,31.7,1.31,True,False,stable
BAT00766,2021-04-22,DRG013,Omeprazole,SUP006,Zhejiang Pharma Chemical,83.51,8.78,37.2,1.79,True,False,stable
BAT00484,2021-04-23,DRG018,Cetirizine HCl,SUP004,Laurus Labs Synthesis,83.47,7.55,35.2,2.12,True,False,declining
BAT00823,2021-04-23,DRG006,Ibuprofen,SUP007,Huahai Pharmaceutical API,80.0,9.94,46.6,1.9,True,False,declining
BAT00193,2021-04-24,DRG008,Amoxicillin Trihydrate,SUP002,Cipla Chemical Works,91.26,5.34,34.1,1.57,True,False,stable
